"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
269,"2020-03-01 00:11:37.4440","2020-03-01 00:16:07.2560",499,"Broadway & W 60 St",40.76915505,-73.98191841,530,"11 Ave & W 59 St",40.77149671054441,-73.99046033620834,28782,"Subscriber",1979,1
593,"2020-03-01 00:11:39.3570","2020-03-01 00:21:32.9140",3785,"W 42 St & 6 Ave",40.75492,-73.98455,513,"W 56 St & 10 Ave",40.768254,-73.988639,35125,"Subscriber",1994,1
473,"2020-03-01 00:11:43.4740","2020-03-01 00:19:36.5230",478,"11 Ave & W 41 St",40.76030096,-73.99884222,519,"Pershing Square North",40.751873,-73.977706,38465,"Subscriber",1977,1
168,"2020-03-01 00:11:44.0050","2020-03-01 00:14:32.9850",434,"9 Ave & W 18 St",40.74317449,-74.00366443,434,"9 Ave & W 18 St",40.74317449,-74.00366443,39923,"Subscriber",1988,1
409,"2020-03-01 00:11:50.3300","2020-03-01 00:18:39.8720",3597,"43 St & Broadway",40.7577284,-73.9166368,3522,"37 St & 24 Ave",40.7701477,-73.9120938,35084,"Subscriber",1984,2
251,"2020-03-01 00:11:52.6650","2020-03-01 00:16:04.4700",499,"Broadway & W 60 St",40.76915505,-73.98191841,530,"11 Ave & W 59 St",40.77149671054441,-73.99046033620834,40853,"Subscriber",1978,2
641,"2020-03-01 00:12:10.5250","2020-03-01 00:22:51.6060",432,"E 7 St & Avenue A",40.72621788,-73.98379855,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,38826,"Customer",1987,1
263,"2020-03-01 00:12:12.7650","2020-03-01 00:16:35.8360",468,"Broadway & W 56 St",40.7652654,-73.98192338,3132,"E 59 St & Madison Ave",40.76350532,-73.97109243,41331,"Subscriber",1996,1
199,"2020-03-01 00:12:30.8950","2020-03-01 00:15:50.6620",377,"6 Ave & Canal St",40.72243797,-74.00566443,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,38951,"Subscriber",1978,1
520,"2020-03-01 00:12:35.7000","2020-03-01 00:21:16.4360",82,"St James Pl & Pearl St",40.71117416,-74.00016545,315,"South St & Gouverneur Ln",40.70355377,-74.00670227,15305,"Subscriber",1986,2
1658,"2020-03-01 00:12:40.2800","2020-03-01 00:40:18.6010",3297,"6 St & 7 Ave",40.6686627,-73.97988067,3803,"Bedford Ave & Montgomery St",40.665816,-73.956934,41699,"Subscriber",1963,1
145,"2020-03-01 00:12:43.9500","2020-03-01 00:15:09.1660",119,"Park Ave & St Edwards St",40.69608941,-73.97803415,245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,34090,"Subscriber",1963,1
186,"2020-03-01 00:12:53.9990","2020-03-01 00:16:00.7750",323,"Lawrence St & Willoughby St",40.69236178,-73.98631746,3440,"Fulton St & Adams St",40.692418292578466,-73.98949474096298,38037,"Subscriber",1989,1
645,"2020-03-01 00:12:56.9190","2020-03-01 00:23:42.5670",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,3735,"W 30 St & 10 Ave",40.752694,-74.002353,32105,"Subscriber",1992,1
215,"2020-03-01 00:12:57.2860","2020-03-01 00:16:32.4930",499,"Broadway & W 60 St",40.76915505,-73.98191841,422,"W 59 St & 10 Ave",40.770513,-73.988038,28777,"Subscriber",1960,2
331,"2020-03-01 00:13:21.8770","2020-03-01 00:18:53.6010",539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,3107,"Bedford Ave & Nassau Ave",40.72311651,-73.95212324,34137,"Subscriber",1982,2
382,"2020-03-01 00:13:36.5110","2020-03-01 00:19:58.6960",3077,"Stagg St & Union Ave",40.70877084,-73.95095259,3077,"Stagg St & Union Ave",40.70877084,-73.95095259,39435,"Subscriber",1995,1
1006,"2020-03-01 00:14:00.0080","2020-03-01 00:30:46.1860",3047,"Halsey St & Tompkins Ave",40.6823687,-73.944118,366,"Clinton Ave & Myrtle Ave",40.693261,-73.968896,15045,"Subscriber",1991,1
617,"2020-03-01 00:14:05.1600","2020-03-01 00:24:22.3740",312,"Allen St & Stanton St",40.722055,-73.989111,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,28282,"Subscriber",1989,1
480,"2020-03-01 00:14:08.5100","2020-03-01 00:22:08.5950",150,"E 2 St & Avenue C",40.7208736,-73.98085795,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,17664,"Subscriber",1991,2
1266,"2020-03-01 00:14:10.5720","2020-03-01 00:35:17.3120",168,"W 18 St & 6 Ave",40.73971301,-73.99456405,3148,"E 84 St & 1 Ave",40.77565541,-73.95068615,37054,"Subscriber",1993,1
429,"2020-03-01 00:14:12.3420","2020-03-01 00:21:22.1030",270,"Adelphi St & Myrtle Ave",40.69308257,-73.97178913,364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,40183,"Subscriber",1996,1
616,"2020-03-01 00:14:15.0950","2020-03-01 00:24:32.0080",483,"E 12 St & 3 Ave",40.73223272,-73.98889957,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,37042,"Subscriber",1991,1
401,"2020-03-01 00:14:27.8500","2020-03-01 00:21:09.2580",3699,"W 50 St & 9 Ave",40.763604677958625,-73.98917958140373,3712,"W 35 St & Dyer Ave",40.754691750226016,-73.99740189313889,15658,"Subscriber",1992,1
187,"2020-03-01 00:14:38.3250","2020-03-01 00:17:45.3410",462,"W 22 St & 10 Ave",40.74691959,-74.00451887,434,"9 Ave & W 18 St",40.74317449,-74.00366443,38152,"Subscriber",1993,1
525,"2020-03-01 00:14:42.1330","2020-03-01 00:23:27.9640",293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,30182,"Subscriber",1990,1
1534,"2020-03-01 00:14:44.8320","2020-03-01 00:40:19.7220",400,"Pitt St & Stanton St",40.71926081,-73.98178024,330,"Reade St & Broadway",40.71450451,-74.00562789,37858,"Subscriber",1975,1
1574,"2020-03-01 00:15:07.1410","2020-03-01 00:41:21.8770",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,3571,"Bedford Ave & Bergen St",40.676368,-73.952918,39702,"Subscriber",1993,1
713,"2020-03-01 00:15:08.4580","2020-03-01 00:27:01.6420",2003,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,16771,"Subscriber",1970,1
704,"2020-03-01 00:15:11.1190","2020-03-01 00:26:55.9190",3287,"W 87 St & West End Ave",40.789622,-73.97757,3286,"E 89 St & 3 Ave",40.7806284,-73.9521667,28976,"Customer",1969,0
